func_name,shadow_price,ir_count,opt_level,inlined,threshold_baseline,threshold_adjusted
func_3_size_10_opt_1,6.00,10,1,0,50,5
func_3_size_50_opt_1,15.00,50,1,0,50,7
func_3_size_100_opt_1,15.00,100,1,0,50,7
func_3_size_200_opt_1,9.00,200,1,0,50,5
func_3_size_500_opt_1,8.00,500,1,0,50,5
func_4_size_10_opt_1,875.00,10,1,1,50,250
func_4_size_50_opt_1,1108.00,50,1,1,50,250
func_4_size_100_opt_1,1087.00,100,1,1,50,250
func_4_size_200_opt_1,915.00,200,1,1,50,250
func_4_size_500_opt_1,1061.00,500,1,0,50,250
func_5_size_10_opt_1,15.00,10,1,0,50,7
func_5_size_50_opt_1,9.00,50,1,0,50,5
func_5_size_100_opt_1,9.00,100,1,0,50,5
func_5_size_200_opt_1,15.00,200,1,0,50,7
func_5_size_500_opt_1,6.00,500,1,0,50,5
func_6_size_10_opt_1,1006.00,10,1,1,50,250
func_6_size_50_opt_1,906.00,50,1,1,50,250
func_6_size_100_opt_1,833.00,100,1,1,50,250
func_6_size_200_opt_1,975.00,200,1,1,50,250
func_6_size_500_opt_1,938.00,500,1,0,50,250
func_7_size_10_opt_1,9.00,10,1,0,50,5
func_7_size_50_opt_1,14.00,50,1,0,50,7
func_7_size_100_opt_1,8.00,100,1,0,50,5
func_7_size_200_opt_1,12.00,200,1,0,50,6
func_7_size_500_opt_1,8.00,500,1,0,50,5
func_8_size_10_opt_1,1173.00,10,1,1,50,250
func_8_size_50_opt_1,827.00,50,1,1,50,250
func_8_size_100_opt_1,887.00,100,1,1,50,250
func_8_size_200_opt_1,1104.00,200,1,1,50,250
func_8_size_500_opt_1,1137.00,500,1,0,50,250
func_9_size_10_opt_1,13.00,10,1,0,50,6
func_9_size_50_opt_1,10.00,50,1,0,50,5
func_9_size_100_opt_1,5.00,100,1,0,50,5
func_9_size_200_opt_1,8.00,200,1,0,50,5
func_9_size_500_opt_1,15.00,500,1,0,50,7
func_10_size_10_opt_1,968.00,10,1,1,50,250
func_10_size_50_opt_1,1088.00,50,1,1,50,250
func_10_size_100_opt_1,809.00,100,1,1,50,250
func_10_size_200_opt_1,1096.00,200,1,1,50,250
func_10_size_500_opt_1,1078.00,500,1,0,50,250
func_11_size_10_opt_1,10.00,10,1,0,50,5
func_11_size_50_opt_1,11.00,50,1,0,50,5
func_11_size_100_opt_1,6.00,100,1,0,50,5
func_11_size_200_opt_1,15.00,200,1,0,50,7
func_11_size_500_opt_1,6.00,500,1,0,50,5
func_12_size_10_opt_1,993.00,10,1,1,50,250
func_12_size_50_opt_1,978.00,50,1,1,50,250
func_12_size_100_opt_1,915.00,100,1,1,50,250
func_12_size_200_opt_1,1120.00,200,1,1,50,250
func_12_size_500_opt_1,1054.00,500,1,0,50,250
func_13_size_10_opt_1,15.00,10,1,0,50,7
func_13_size_50_opt_1,14.00,50,1,0,50,7
func_13_size_100_opt_1,12.00,100,1,0,50,6
func_13_size_200_opt_1,13.00,200,1,0,50,6
func_13_size_500_opt_1,10.00,500,1,0,50,5
func_14_size_10_opt_1,1158.00,10,1,1,50,250
func_14_size_50_opt_1,1048.00,50,1,1,50,250
func_14_size_100_opt_1,976.00,100,1,1,50,250
func_14_size_200_opt_1,876.00,200,1,1,50,250
func_14_size_500_opt_1,1193.00,500,1,0,50,250
func_15_size_10_opt_1,12.00,10,1,0,50,6
func_15_size_50_opt_1,13.00,50,1,0,50,6
func_15_size_100_opt_1,13.00,100,1,0,50,6
func_15_size_200_opt_1,8.00,200,1,0,50,5
